query,instagramUrl,followers,following,posts,Instagram Handles,Email Addresses
Metal Machine Tattoo Studio,https://www.instagram.com/mmtattoo/,3104,2221,2383,@mmtattoo,mmtattoo@iafrica.com
Hoodoo Tattoos,https://www.instagram.com/hoodootattoos/,7092,7341,1326,@hoodootattoos,
Cape Town Tattoos. Mr Lucky'S,https://www.instagram.com/capetowntattoo/,2081,486,775,@capetowntattoo,
Cape Electric Tattoo,https://www.instagram.com/capeelectrictattoo/,,,,@waldodelrocca @garethlloyd.cet @dokter_iriezumi @caitlynlong.ct @sa_tattooconvention @capeelectrictattoo,
Tomb Tattoo,https://www.instagram.com/tomb_tattoo/,9127,807,2971,@tomb_tattoo,
Betrue Ink Tattoo'S And Body Piercing Studio,https://www.instagram.com/betrueinktattoo/,1231,3296,1098,@betrueinktattoo,
More Than Hype - Tattoo Art Collective,https://www.instagram.com/tattooartcollective/,433,85,27,@tattooartcollective,
Sleight Of Hand Tattoos,https://www.instagram.com/sleight_hand/,308,539,26,@sleight_hand,
Keepsake Tattoo Cape Town,https://www.instagram.com/keepsake_tattoo/,2747,722,1243,@keepsake_tattoo,
Queen Of Steel,https://www.instagram.com/queenzofsteel/,329,103,49,@queenzofsteel,
The Body Architects,https://www.instagram.com/thebodyarchitects/,,,,@weskuswolf @byronbarkertattoos @tattoos_by_marc_stapelberg @thebodyarchitects,
Wildfire Tattoo And Body Piercing Studio,https://www.instagram.com/wildfiretattoos/,4428,514,787,@wildfiretattoos,
Kings And Queens Ink Lounge,https://www.instagram.com/kingsandqueensink/,4543,2322,735,@kingsandqueensink,
Good Things Tattoo,https://www.instagram.com/goodthingstattoo/,,,3185,@tamarthorn @sean_smuts_tattoo @hilaryrandle @brucethekid @jerryjames_tattoos @clare_foxcroft @laserdave_,
Kak Lucky Tattoos,https://www.instagram.com/kakluckytattoos/,11.1k,3685,1042,@kakluckytattoos,
Dark Horse Society,https://www.instagram.com/dark_horse_society/,3272,1062,383,@dark_horse_society,info@darkhorse.co.za
Arcane Tattoo & Piercing,https://www.instagram.com/arcanearttattoo/,3822,86,241,@arcanearttattoo @jentrey_mccausland_11 @mattmitart @kayleighvanleuven @iboidank @tat2by_b @get_stabbed_piercing @lotus_raquel @tatbykiley,
Skullbox & Tattoo Company,https://www.instagram.com/skullbox_tattoocompany/,,,,@skullbox_tattoocompany,
Descriptive Art Collective,https://www.instagram.com/descriptive_art_collective/,,,,@descriptive_art_collective,descriptiveart@gmail.com
Marius Bosman'S Tattoo Studio,https://www.instagram.com/mariusbosmantattoo/,437,2,75,@mariusbosmantattoo,
Devon Slaves Tattoos,https://www.instagram.com/devonslaves/,18.9k,867,269,@devonslaves @curativeconcepts,
Primal Culture Tattoo Studio,https://www.instagram.com/primal_culture/,1366,1199,150,@primal_culture,
Mantra Tattoos,https://www.instagram.com/mantratattoo/,26.4k,7042,2112,@mantratattoo,
Skintrade Tattoos,https://www.instagram.com/skintradetattoosjnb/,832,740,172,@skintradetattoosjnb,
The Ink Lane Tattoos,https://www.instagram.com/theinklane/,,,,@theinklane,
Disciples Ink Durbanville Tattoo Studio,https://www.instagram.com/disciplesinktattoo/,,,,@disciplesinktattoo,
Monarch Tattoo Co.,https://www.instagram.com/monarch_tattoo_co/,3047,14,93,@monarch_tattoo_co,
Hellhound Tattoo Studio,https://www.instagram.com/hellhound_tattoostudio/,2618,1260,750,@hellhound_tattoostudio,
Ten Two Tattoo,https://www.instagram.com/tentwotattoostudio/,1511,189,124,@tentwotattoostudio,
Wildfire Tattoo & Piercing - Canal Walk,https://www.instagram.com/wildfirecapetown/,,,,@wildfirecapetown,capetown@wildfireza.com canalwalk@wildfireza.com kenilworth@wildfireza.com
Disciples Ink Strand Tattoo Studio,https://www.instagram.com/disciplesinktattoo/,,,,@disciplesinktattoo,
Kanasashi Tattoos,https://www.instagram.com/tattoosbykanasashi/,,,,@kanasashiart @kanabesem @tattoosbykanasashi,kanabesem@gmail.com
Cape Tattoo Co,https://www.instagram.com/cape_tattoo_co/,881,798,390,@cape_tattoo_co,
Moving Art Tattoos And Piercings,https://www.instagram.com/tattoo_on_move/,,,,@tattoo_on_move,
True Colours Tattoo Studio,https://www.instagram.com/true_colours_tattoo/,35.4k,311,279,@true_colours_tattoo,
Serenity Tattoos & Piercings Cpt,https://www.instagram.com/serenity_tattoos_and_piercings/,576,251,101,@serenity_tattoos_and_piercings,
Sally Mustang Tattoos Cape Town,https://www.instagram.com/sallymustang_tattoos/,57.8k,299,1866,@sallymustang_tattoos,
The Tattooer,https://www.instagram.com/the.tattooer/,44,5,6,@the.tattooer,
Illusion Tattoos Supplies (Tattoos & Piercings) (Pty) Ltd.,https://www.instagram.com/illusiontattoos/,175,156,29,@illusiontattoos,
Bethaaink_Tattoo & Piercing,https://www.instagram.com/monia.ink.piercing/,770,30,19,@monia.ink.piercing,
Black Jack Tattoos,https://www.instagram.com/blackjacktattooshop/,3512,4674,794,@blackjacktattooshop,
Studio 52,https://www.instagram.com/studio52.tv/,2619,191,150,@studio52.tv,
Team Black Sheep Tattoos,https://www.instagram.com/teamblacksheep_tattoo/,105,0,0,@teamblacksheep_tattoo,
