query	error	timestamp	instagramUrl	description	title
	Empty line	2022-06-16T15:23:35.143Z			
Metal Machine Tattoo Studio		2022-06-16T15:23:58.976Z	https://www.instagram.com/mmtattoo/	Derek Baker (@mmtattoo) • Instagram photos and videos mmtattoo 2,383 posts 3,104 followers 2,221 following Derek Baker Owner and tattooist at Metal Machine tattoo studio . 49 shortmarket street. Cape Town. South Africa. +27214240688 email mmtattoo@iafrica.com www.mmtattoo.com Posts Reels Tagged	Derek Baker (@mmtattoo) • Instagram photos and videos
Hoodoo Tattoos		2022-06-16T15:24:23.077Z	https://www.instagram.com/hoodootattoos/	7,092 Followers, 7,341 Following, 1,326 Posts - See Instagram photos and videos from @hoodootattoos	@hoodootattoos • Instagram photos and videos
Cape Town Tattoos. Mr Lucky'S		2022-06-16T15:24:46.989Z	https://www.instagram.com/capetowntattoo/	Mr Lucky's Cape Town Tattoo (@capetowntattoo) • Instagram photos and videos capetowntattoo 775 posts 2,081 followers 486 following Mr Lucky's Cape Town Tattoo Business profile for Mr Lucky's Cape Town Tattoo. Artists: Milo and Ronnie. Call 0845886005 or message to book, your skin deseves the best. linktr.ee/capetowntattoo Posts Reels Videos Tagged	Mr Lucky's Cape Town Tattoo (@capetowntattoo) - Instagram
Cape Electric Tattoo		2022-06-16T15:25:10.816Z	https://www.instagram.com/capeelectrictattoo/	Cape Town - Cape Electric. Artist. South Atlantic’s Finest. Over a decade 2011. ⚜️ @waldodelrocca. ⚜️ @garethlloyd.cet. ⚜️ @dokter_iriezumi. ⚜️ @caitlynlong.ct. Host of @sa_tattooconvention www.capeelectrictattoo.com.	Cape Town - Cape Electric (@capeelectrictattoo) • Instagram photos and ...
Tomb Tattoo		2022-06-16T15:25:34.822Z	https://www.instagram.com/tomb_tattoo/	9,127 Followers, 807 Following, 2,971 Posts - See Instagram photos and videos from TOMB TATTOO (@tomb_tattoo)	TOMB TATTOO is on Instagram • 2,971 posts on their profile
Betrue Ink Tattoo'S And Body Piercing Studio		2022-06-16T15:25:58.823Z	https://www.instagram.com/betrueinktattoo/	1,231 Followers, 3,296 Following, 1,098 Posts - See Instagram photos and videos from BetrueInk tattoo's n piercing (@betrueinktattoo)	BetrueInk tattoo's n piercing (@betrueinktattoo) • Instagram photos and ...
More Than Hype - Tattoo Art Collective		2022-06-16T15:26:22.633Z	https://www.instagram.com/tattooartcollective/	433 Followers, 85 Following, 27 Posts - See Instagram photos and videos from @tattooartcollective	@tattooartcollective • Instagram photos and videos
Sleight Of Hand Tattoos		2022-06-16T15:26:46.482Z	https://www.instagram.com/sleight_hand/	308 Followers, 539 Following, 26 Posts - See Instagram photos and videos from Sleight of Hand (@sleight_hand)	Sleight of Hand (@sleight_hand) • Instagram photos and videos
Keepsake Tattoo Cape Town		2022-06-16T15:27:10.276Z	https://www.instagram.com/keepsake_tattoo/	2,747 Followers, 722 Following, 1,243 Posts - See Instagram photos and videos from Keepsake Tattoo (@keepsake_tattoo) keepsake_tattoo. Follow. 1,243 posts	
